route_schedule_uuid,num_trips,route_total_distance,route_driving_time,route_start_time,route_end_time,route_shift_duration,route_total_time,route_start_location,route_end_location
thanos::sroute:1396edcd-faad-4029-a574-f71a85a60157,19,1497.3833,3634.0,2018-09-12 23:37:39.878570,2018-10-04 05:23:28.396643,30585.80863455,30585.80863455,IND201007AAA,IND201007AAA
thanos::sroute:13a5c5c6-8dbf-4a91-b8fe-3c72c91fb051,18,2939.9381000000003,5802.0,2018-09-12 22:20:29.494425,2018-10-04 16:25:05.462066,31324.599460683334,31324.599460683334,IND263153AAB,IND263153AAB
thanos::sroute:13b6cc18-94e0-4122-81c6-4f64b9ec83a5,2,893.943,1359.0,2018-10-02 18:19:07.892857,2018-10-04 09:36:25.163724,2357.2878477833337,2357.2878477833337,IND515004AAA,IND515004AAA
thanos::sroute:13c4e60a-d850-4737-9bac-0cc4a4002b2d,14,3684.7986,7126.0,2018-09-12 00:14:30.716368,2018-09-25 15:40:10.869355,19645.669216450002,19645.669216450002,IND585104AAA,IND585104AAA
thanos::sroute:13dc5914-5176-49a7-ae9e-110e6c28fb64,2,548.2559,644.0,2018-10-03 06:40:22.222132,2018-10-04 13:00:33.210693,1820.1831426833335,1820.1831426833335,IND395023AAA,IND382430AAB
thanos::sroute:13fa1010-c6ab-4fcb-a3dc-33cce5b5c83c,21,8462.6706,12919.0,2018-09-14 23:09:46.712976,2018-10-04 11:27:30.548565,28097.73059315,28097.73059315,IND826004AAA,IND816109AAA
thanos::sroute:14058670-577e-4371-a06f-fde230fe48aa,20,9102.4368,11297.0,2018-09-12 04:57:03.529926,2018-10-02 23:34:44.525501,29917.683259583333,29917.683259583333,IND560099AAB,IND501359AAE
thanos::sroute:1416d24f-6275-4b21-9813-7d052ec84365,20,316.5321,1043.0,2018-09-12 22:47:29.813649,2018-10-04 01:23:57.192680,30396.456317183332,30396.456317183332,IND562132AAA,IND560058AAD
thanos::sroute:14465f3f-3911-46b4-9256-0ddc7f55b293,21,4554.1919,7913.0,2018-09-13 00:34:13.131786,2018-10-04 06:26:47.532582,30592.5733466,30592.5733466,IND533003AAA,IND533106AAA
thanos::sroute:14593e28-f456-45d4-9747-b7c51ed910bc,15,341.4173,1773.0,2018-09-12 16:03:04.352944,2018-10-03 20:19:13.946574,30496.159893833334,30496.159893833334,IND700065AAB,IND712310AAA
thanos::sroute:146160f7-402b-4c25-94b8-83ab48bc6389,13,713.2986,1258.0,2018-09-12 05:11:57.239362,2018-09-27 07:03:45.561941,21711.805376316664,21711.805376316664,IND442101AAB,IND445001AAB
thanos::sroute:147ddb06-42e6-4598-ae86-6cb08624fb6b,16,2790.9101,4124.0,2018-09-15 07:38:28.551849,2018-10-03 16:04:00.875105,26425.53872093333,26425.53872093333,IND335804AAD,IND335513AAA
thanos::sroute:14870bd3-0ef2-4c83-8ba3-961539c60d2a,16,421.0991,821.0,2018-09-12 23:39:19.160528,2018-10-02 01:19:03.386144,27459.737093599997,27459.737093599997,IND411033AAA,IND411036AAA
thanos::sroute:14c55592-ba2e-4f72-820c-3a22334137cd,15,32726.502,42872.0,2018-09-18 04:32:21.900842,2018-10-05 17:07:07.360030,25234.757653133336,25234.757653133336,IND562132AAA,IND000000ACB
thanos::sroute:15771cba-a0eb-46aa-b6fe-2d2034f0b88c,11,2458.713,3547.0,2018-09-17 19:19:57.463187,2018-10-04 07:07:36.880279,23747.656951533332,23747.656951533332,IND125001AAA,IND125104AAA
thanos::sroute:15c921f8-8a40-44cc-95ac-59f93d25f780,15,32016.7756,35812.0,2018-09-12 01:52:38.515204,2018-09-30 18:14:00.409945,26901.36491235,26901.36491235,IND000000ACB,IND751002AAB
